hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000338,Marien Hospital Düsseldorf GmbH,6.7846,51.2359,Rochusstr. 2,40479,Düsseldorf,Nordrhein-Westfalen,"Marien Hospital Düsseldorf GmbH, Rochusstr. 2, 40479 Düsseldorf",Nordrhein,4096514.7389876284,3129925.524454483,10000,52.55408380561668,16,4091514.7389876284,4101514.7389876284,3124925.524454483,3134925.524454483
K000000339,St. Vinzenz-Krankenhaus,6.7909,51.2424,Schloßstr. 85,40477,Düsseldorf,Nordrhein-Westfalen,"St. Vinzenz-Krankenhaus, Schloßstr. 85, 40477 Düsseldorf",Nordrhein,4096985.88376625,3130628.7433303827,10000,54.59784295068322,15,4091985.88376625,4101985.88376625,3125628.7433303827,3135628.7433303827
K000000340,Florence-Nightingale-Krankenhaus,6.7494,51.3004,Kreuzbergstr. 79,40489,Düsseldorf,Nordrhein-Westfalen,"Florence-Nightingale-Krankenhaus, Kreuzbergstraße 79, 40489 Düsseldorf",Nordrhein,4094377.138398039,3137204.089855001,10000,15.089652396661979,5,4089377.138398039,4099377.138398039,3132204.089855001,3142204.089855001
K000000341,Evangelisches Krankenhaus Düsseldorf,6.7725,51.2126,Kirchfeldstr. 40,40217,Düsseldorf,Nordrhein-Westfalen,"Evangelisches Krankenhaus Düsseldorf, Kirchfeldstr. 40, 40217 Düsseldorf",Nordrhein,4095556.5789855216,3127372.721103572,10000,40.68628009116836,15,4090556.5789855216,4100556.5789855216,3122372.721103572,3132372.721103572
K000000342,Paracelsus Klinik Düsseldorf Golzheim,6.7594,51.2541,Friedrich-Lau-Str. 11,40474,Düsseldorf,Nordrhein-Westfalen,"Paracelsus Klinik Düsseldorf Golzheim, Friedrich-Lau-Strasse 11, 40474 Düsseldorf",Nordrhein,4094846.156860639,3132026.360296515,10000,34.8290398299848,11,4089846.156860639,4099846.156860639,3127026.360296515,3137026.360296515
K000000343,LVR-Klinikum Düsseldorf - Kliniken der Heinrich-Heine-Universität Düsseldorf,6.845,51.2414,Bergische Landstr. 2,40629,Düsseldorf,Nordrhein-Westfalen,"LVR-Klinikum Düsseldorf - Kliniken der Heinrich-Heine-Universität Düsseldorf, Bergische Landstraße 2, 40629 Düsseldorf",Nordrhein,4100754.8665114543,3130353.127638098,10000,58.75511689897845,16,4095754.8665114543,4105754.8665114543,3125353.127638098,3135353.127638098
K000000344,Wedau Kliniken,6.7827,51.3966,Zu den Rehwiesen 9-11,47055,Duisburg,Nordrhein-Westfalen,"Wedau Kliniken, Zu den Rehwiesen 9-11, 47055 Duisburg",Nordrhein,4097166.884753667,3147795.29110169,10000,65.09312477029222,17,4092166.884753667,4102166.884753667,3142795.29110169,3152795.29110169
K000000345,BG Klinikum Duisburg,6.7853,51.3809,Großenbaumer Allee 250,47249,Duisburg,Nordrhein-Westfalen,"Duisburg, Großenbaumer Allee 250, 47249 Duisburg",Nordrhein,4097270.976679564,3146042.03770016,10000,56.62594254076864,14,4092270.976679564,4102270.976679564,3141042.03770016,3151042.03770016
K000000346,Helios St. Johannes Klinik,6.7627,51.4893,An der Abtei 7-11,47166,Duisburg,Nordrhein-Westfalen,"Helios St. Johannes Klinik, An der Abtei 7-11, 47166 Duisburg",Nordrhein,4096232.5737801623,3158161.7406837814,10000,75.3539980662704,22,4091232.5737801623,4101232.5737801623,3153161.7406837814,3163161.7406837814
K000000347,Helios Marien Klinik,6.7532,51.4134,Grunewaldstr. 96,47053,Duisburg,Nordrhein-Westfalen,"Helios Marien Klinik, Grunewaldstr. 96, 47053 Duisburg",Nordrhein,4095198.936389082,3149753.6595432837,10000,84.10751501217143,26,4090198.936389082,4100198.936389082,3144753.6595432837,3154753.6595432837
