hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,autobahn_length_in_cell_km_1939,autobahn_segments_hitting_cell_1939,x_min,x_max,y_min,y_max
K000001369,"Krankenhaus Neuwittelsbach, Fachklinik für Innere Medizin",11.5255,48.1569,Renatastr. 71A,80639,München,Bayern,"Krankenhaus Neuwittelsbach, Fachklinik für Innere Medizin, Renatastr. 71A, 80639 München",Bayern,4434541.674373024,2783767.056527758,30000,29.325306058871075,3,4419541.674373024,4449541.674373024,2768767.056527758,2798767.056527758
K000001370,Kreisklinik Vinzentinum Ruhpolding,12.6424,47.7633,Hauptstr. 24,83324,Ruhpolding,Bayern,"Kreisklinik Vinzentinum Ruhpolding, Hauptstr. 24, 83324 Ruhpolding",Bayern,4519161.555878774,2742394.2980307257,30000,31.712784556224825,2,4504161.555878774,4534161.555878774,2727394.2980307257,2757394.2980307257
K000001371,"Maria-Theresia-Klinik, Fachklinik für Chirurgie",11.5492,48.1267,Bavariaring 46,80336,München,Bayern,"Maria-Theresia-Klinik, Fachklinik für Chirurgie, Bavariaring 46, 80336 München",Bayern,4436373.963960226,2780447.9883784205,30000,27.237883077906513,3,4421373.963960226,4451373.963960226,2765447.9883784205,2795447.9883784205
K000001372,Medical Park Chiemseeblick GmbH & Co. KG - Fachklinik für Psychosomatik,12.3857,47.8315,Rasthausstr. 25,83233,Bernau-Felden,Bayern,"Medical Park Chiemseeblick GmbH & Co. KG - Fachklinik für Psychosomatik, Rasthausstrasse 25, 83233 Bernau-Felden",Bayern,4499681.232870034,2749315.2011314966,30000,31.987392138901175,1,4484681.232870034,4514681.232870034,2734315.2011314966,2764315.2011314966
K000001373,Klinikum Penzberg,11.3757,47.755,Am Schloßbichl 7,82377,Penzberg,Bayern,"Klinikum Penzberg, Am Schloßbichl 7, 82377 Penzberg",Bayern,4424202.905737986,2738891.662452086,30000,0.0,0,4409202.905737986,4439202.905737986,2723891.662452086,2753891.662452086
K000001374,Klinikum Landshut gGmbH,12.1376,48.5377,Robert-Koch-Str. 1,84034,Landshut,Bayern,"Klinikum Landshut gGmbH, Robert-Koch-Straße 1, 84034 Landshut",Bayern,4478890.817077771,2827207.6357336813,30000,0.0,0,4463890.817077771,4493890.817077771,2812207.6357336813,2842207.6357336813
K000001375,Krankenhaus Landshut-Achdorf,12.15,48.5232,Achdorfer Weg 3,84036,Landshut,Bayern,"Krankenhaus Landshut-Achdorf, Achdorfer Weg 3, 84036 Landshut",Bayern,4479852.344310295,2825623.03050881,30000,0.0,0,4464852.344310295,4494852.344310295,2810623.03050881,2840623.03050881
K000001376,Kinderkrankenhaus St. Marien gGmbH,12.1644,48.5341,Grillparzerstr. 9,84036,Landshut,Bayern,"Kinderkrankenhaus St. Marien gGmbH, Grillparzerstraße 9, 84036 Landshut",Bayern,4480881.19010672,2826865.3320348267,30000,0.0,0,4465881.19010672,4495881.19010672,2811865.3320348267,2841865.3320348267
K000001377,Klinikum Passau,13.4445,48.5658,Innstr. 76,94032,Passau,Bayern,"Klinikum Passau, Innstraße 76, 94032 Passau",Bayern,4575215.322393852,2833980.6291511836,30000,0.0,0,4560215.322393852,4590215.322393852,2818980.6291511836,2848980.6291511836
K000001378,Kliniken Dritter Orden gGmbH Standort Kinderklinik Dritter Orden Passau,13.4462,48.5665,Bischof-Altmann-Str. 9,94032,Passau,Bayern,"Kliniken Dritter Orden gGmbH Standort Kinderklinik Dritter Orden Passau, Bischof-Altmann-Straße 9, 94032 Passau",Bayern,4575337.129252385,2834064.2329117223,30000,0.0,0,4560337.129252385,4590337.129252385,2819064.2329117223,2849064.2329117223
